Feature,iPhone 15,Samsung Galaxy S24
Front Camera,12 MP TrueDepth,12 MP
Operating System,"iOS 17, upgradable to iOS 26.1",Android 14 with One UI 8.0 upgrade
Dimensions,147.6 x 71.6 x 7.8 mm,147 x 70.6 x 7.6 mm
Processor,"Apple A16 Bionic 6-core CPU, 5-core GPU",Qualcomm Snapdragon 8 Gen 3 (varies by region)
Storage,128/256/512 GB NVMe,128/256/512 GB UFS 3.1/4.0
RAM,6 GB,8/12 GB
Display,"6.1-inch Super Retina XDR OLED, 2556 x 1179 px, 460 ppi, HDR, Dynamic Island","6.2-inch Dynamic AMOLED 2X, 1080 x 2340 px, 416 ppi, 120 Hz, HDR10+"
Charging,"20 W wired, 15 W MagSafe wireless","25W wired, 15W wireless"
Rear Camera,"48 MP Main, 12 MP Ultra Wide, 12 MP 2x Telephoto","50 MP wide, 10 MP telephoto 3x optical zoom, 12 MP ultrawide"
Weight,171 g,167-168 g
Battery,"3349 mAh, Up to 20 hours video playback","4000 mAh, 25W wired, 15W wireless"
